ID;marine;memory;add.surface.;resolution.cm;resolution.sections;waterline;reservoir;starting.age;acc.rate;hiatus.1;hiatus.2;hiatus.3;add.depth.1;add.age.1;add.error.1;need.calibration.1;add.depth.2;add.age.2;add.error.2;need.calibration.2;add.depth.3;add.age.3;add.error.3;need.calibration.3;add.depth.4;add.age.4;add.error.4;need.calibration.4;add.depth.5;add.age.5;add.error.5;need.calibration.5;add.depth.6;add.age.6;add.error.6;need.calibration.6;add.depth.7;add.age.7;add.error.7;need.calibration.7;add.depth.8;add.age.8;add.error.8;need.calibration.8;add.depth.9;add.age.9;add.error.9;need.calibration.9;add.depth.10;add.age.10;add.error.10;need.calibration.10;add.depth.11;add.age.11;add.error.11;need.calibration.11;add.depth.12;add.age.12;add.error.12;need.calibration.12;add.depth.13;add.age.13;add.error.13;need.calibration.13;add.depth.14;add.age.14;add.error.14;need.calibration.14;add.depth.15;add.age.15;add.error.15;need.calibration.15;add.depth.16;add.age.16;add.error.16;need.calibration.16;keep.age.1;keep.age.2;keep.age.3;keep.age.4;keep.age.5;keep.age.6;delete.1;delete.2;delete.3;delete.4;delete.5;delete.6;delete.7;delete.8;delete.9;delete.10;delete.11;delete.12;delete.13;delete.14;delete.15;delete.16;delete.17;delete.18
311;FALSE;0.3;TRUE;;60;;;-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
312;FALSE;0.3;TRUE;;60;;;-30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
313;FALSE;0.3;FALSE;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
314;FALSE;0.3;FALSE;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
315;FALSE;0.3;TRUE;;30;;;-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
316;FALSE;0.3;TRUE;10;;;;-39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
317;FALSE;0.3;TRUE;;60;;;-20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
318;FALSE;0.7;TRUE;;30;;;-50;;;;;520;7240;300;TRUE;712;9550;350;TRUE;958;11500;500;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;520;712;;;;;;;;;;;;;;;;
321;FALSE;0.7;FALSE;;30;;;;;;;;356;14500;500;TRUE;0;7300;500;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;356;;;;;;;;;;;;;;;;;
324;FALSE;0.3;TRUE;;60;;;-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
327;FALSE;0.7;TRUE;;60;;;-50;;;;;410;40000;2000;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
328;FALSE;0.3;TRUE;;60;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;545;565;;;;;;;;;;;;;;;;
329;FALSE;0.3;TRUE;10;;;;-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
330;FALSE;0.7;FALSE;;15;;;;;;;;250;10000;1000;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
331;FALSE;0.3;TRUE;;30;440;;-50;;477;;;1350;40000;1000;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
332;FALSE;0.3;TRUE;;30;;;-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
333;FALSE;0.3;FALSE;;60;;;;;;;;39.5;150;20;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
335;FALSE;0.3;TRUE;;30;;;-50;;;;;122;7000;500;TRUE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
336;FALSE;0.3;TRUE;10;;;;-50;;;;;53;1250;150;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
337;FALSE;0.3;TRUE;;15;;;-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
